Gen_ID	DateMean	Locality	Pol_En	Mt_hapgrp
Ne30_genotyping_noUDG	-7946	Nepal, Kathmandu	China	D4m
Ne61_genotyping_noUDG	-1471	Nepal, Kathmandu	China	D4b1a2a
Ne35_genotyping_noUDG	-7040	Nepal, Kathmandu	China	R11
I13833	1625	Barç (Southeast, Korça Basin)	Albania	X2e1
I3931	-5908	Aknashen	Armenia	I1
I3930	-5585	Masis Blur	Armenia	K
I13559	1200	South Andros, Sanctuary Blue Hole	Bahamas	B2e
I24542_d	-2775	Mayahak Cab Pek	Belize	C1c
I19493_in.preparation	-800	Kapitan Andreevo (South)	Bulgaria	K1a4a1
CAO009013	621	Matanzas City, Canimar Abajo	Cuba	D1
I16326	-675	NW Bohemia, Louny, Stradonice	Czech Republic	H7
I8122	800	El Soco	Dominican Republic	A2z
I14200	-2378	England, Wiltshire, Amesbury Down	United Kingdom	K1b1a
I2446	-2265	England, Oxfordshire, Yarnton	United Kingdom	K1b1a1
I19043_old	-250	England, Hampshire, Winnall Down	United Kingdom	J1c1
I3587	-2225	Bavaria, Alburg-Lerchenhaid, Spedition Häring, Stkr. Straubing	Germany	H1e1a
I13433	-1250	Kastrouli (Desfina, Phokis, near Delphi)	Greece	U3b1
I13531	-1250	Kastrouli (Desfina, Phokis, near Delphi)	Greece	U3b
I13580	-1219	Kastrouli (Desfina, Phokis, near Delphi)	Greece	K2b
I7527	-7950	Ganj Dareh	Iran	U7a
I6441_d	-1350	Nemrik 9	Iraq	HV1a'b'c
I6445	-8750	Nemrik 9	Iraq	J1d
I6441	-1350	Nemrik 9	Iraq	HV1a'b'c
I2189	-1550	Megiddo, Jezreel Valley	Israel	U3b
I1072_enhanced_d	-10750	Raqefet Cave	Israel	N1b
I1072	-10750	Raqefet Cave	Israel	N1b
I1415_enhanced	-7877	'Ain Ghazal	Jordan	T1a2
I1701_enhanced	-7650	'Ain Ghazal	Jordan	K1a18
I1707	-7619	'Ain Ghazal	Jordan	R0a
I1710	-7615	'Ain Ghazal	Jordan	T1a2
I1704	-7209	'Ain Ghazal	Jordan	T
I1727	-8100	'Ain Ghazal	Jordan	T1a2
I1415	-7877	'Ain Ghazal	Jordan	T1a2
I1701	-7650	'Ain Ghazal	Jordan	K
I1699	-6750	'Ain Ghazal	Jordan	R0a2
I1708	-6750	'Ain Ghazal	Jordan	R0a2
I1679	-6850	'Ain Ghazal	Jordan	R
I4427	-4059	Fingira	Malawi	L0d1b2b
I4427_noUDG	-4059	Fingira	Malawi	L0d1b2b
I13778	-1284	Velika Gruda	Montenegro	H1
I0231	-2894	Samara Oblast, Volga River Valley, Southern Steppe, Ekaterinovka	Russia	U4a1
I1525	255	Uelen Chukotka, Bering Strait	Russia	A2a
I0726	-6000	Menteşe (Northwest Anatolia, Marmara, Yenişehir)	Turkey	H
I1099	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	T2
I1100	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	K
I1102	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	K1a3a
I1103	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	K1b1b1
I0725	-6000	Menteşe (Northwest Anatolia, Marmara, Yenişehir)	Turkey	N1a1a
I1926	-3699	Verteba Cave	Ukraine	H5a
I5870	-5413	Volniensky, Vilnianka	Ukraine	U4b1b1
I3719	-4881	Kirovograd Oblast, Dereivka village	Ukraine	H1
I3716	-5397	Volniensky, Vilnianka	Ukraine	U5b2
I5872	-5424	Volniensky, Vilnianka	Ukraine	U5a2
Darra.I.Kur_noUDG_d	-2516	Darra-i-Kur Cave	Afghanistan	H2a
I14688	-500	Çinamak (Norteastern, Kukes District)	Albania	T2b
I14690	-1050	Çinamak (Norteastern, Kukes District)	Albania	T1a4
I14692	-950	Çinamak (Norteastern, Kukes District)	Albania	H1a
I16251	-550	Çinamak (Norteastern, Kukes District)	Albania	H1u2
I16254	-500	Çinamak (Norteastern, Kukes District)	Albania	T2b23
I16256	-550	Çinamak (Norteastern, Kukes District) 	Albania	H
I14689	-2555	Çinamak (Norteastern, Kukes District)	Albania	H102
I15705	-6146	Podgorie (Southeast, Korça Basin)	Albania	N1a1a1
I16253	-476	Çinamak (Norteastern, Kukes District)	Albania	H
I13835	1704	Barç (Southeast, Korça Basin) 	Albania	U3b1
I13838	-4250	Tren cave (Southeast , Devoll area)	Albania	HV4
I13840	-4152	Tren Cave (Southeast , Devoll area) 	Albania	J1c
I8471	-1795	Shkrel	Albania	H1h1
I13839	936	Shtikë (Southeastern, Kolonja Plateau) 	Albania	U4c1
I14622	829	Kënetë (Norteastern, Kukes District)	Albania	H11a
I14685	1550	Bardhoc (Norteastern, Kukes District)	Albania	H7c1
I15706	1630	Pazhok (Central)	Albania	H5'36
I14686	1550	Bardhoc (Northeastern, Kukes District)	Albania	U5a1a2a
I14687	1550	Bardhoc (Norteastern, Kukes District)	Albania	T1a1l
I15707	1551	Bardhoc (Northeastern, Kukes District), 	Albania	J1c
AltaiNeanderthal.DG	-108500	Denisova Cave, Altai	Russia	Neanderthal
AltaiNeanderthal_snpAD.DG	-108500	Denisova Cave, Altai	Russia	Neanderthal
Aconcagua_noUDG.SG	1450	Cerro Aconcagua, Mendoza Province	Argentina	C1bi
I7090	-5212	Arroyo Seco II	Argentina	C1c
I1748	-5212	Arroyo Seco II	Argentina	C1c
I7088	-5478	Arroyo Seco II	Argentina	A2
I0308	-5478	Arroyo Seco II	Argentina	A2
I0309	-5702	Arroyo Seco II	Argentina	D1
I2230	-6624	Arroyo Seco II	Argentina	C1b
I2232	-6423	Arroyo Seco II	Argentina	C1b
I7086	-5808	Arroyo Seco II	Argentina	D1g
I12941	1790	Beagle Channel, Tierra del Fuego, Almanza	Argentina	C1b
I12942	1890	Beagle Channel, Tierra del Fuego, Acatushún	Argentina	C1b
I12943	1770	Beagle Channel, Tierra del Fuego, Almanza	Argentina	C1b
Yaghan890_noUDG.SG	1850	Beagle Channel, Tierra del Fuego	Argentina	D4h3a
Yaghan894_noUDG.SG	1850	Beagle Channel, Tierra del Fuego	Argentina	D4h3a
Yaghan895_noUDG.SG	1850	Beagle Channel, Tierra del Fuego	Argentina	C1b
I12355	460	Beagle Channel, Tierra del Fuego, Río Pipo	Argentina	C1b
I8351	320	Pampas, Laguna Chica	Argentina	D1g
I8348	-4925	Pampas, Laguna Chica	Argentina	R
I8349	-4765	Pampas, Laguna Chica	Argentina	C1b
I8350	-5750	Pampas, Laguna Chica	Argentina	A2
I12376	-383	Southwest of Buenos Aires, Laguna Toro	Argentina	A2
I12356	1670	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	D1
I12357	1620	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	D1g
I12358	1510	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	C
I12359	1360	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	C1b
I12360	1550	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	D1g
I12361	1530	Tierra del Fuego, Mitre Peninusula, Río Policarpo	Argentina	D1g
MA572_noUDG.SG	1850	Tierra del Fuego, Strait of Magellan	Argentina	D4h3a
MA575_noUDG.SG	1850	Tierra del Fuego, Strait of Magellan	Argentina	C1b
MA577_noUDG.SG	1850	Tierra del Fuego, Strait of Magellan	Argentina	D1g5
I12362	-3870	Tierra del Fuego (North), La Arcillosa 2	Argentina	C
I12354	1500	Tierra del Fuego (North), Río Grande	Argentina	D1g
I12363	1570	Tierra del Fuego (North), Puesto Pescador	Argentina	D1g
I12364	1180	Tierra del Fuego (North), Margen Sur	Argentina	D4h3a
I12366	1850	Tierra del Fuego (North), Pozo Tierra del Fuego 1	Argentina	D1g
I12367	1250	Tierra del Fuego (North), Margen Sur	Argentina	C1c8
I12365	1210	Tierra del Fuego (North), Margen Sur	Argentina	C1c8
I16119	-336	Karmir Blur, necropolis of Teishebaini	Armenia	U3b2c
I1407	-3925	Areni 1	Armenia	H
I1409	-4097	Areni 1	Armenia	U4a
I1631	-4149	Areni 1	Armenia	K1a8
I1632	-4126	Areni 1	Armenia	K
I1634	-4206	Areni 1	Armenia	H2a1
ARM003	-3213	South Caucasus mountains, Kaps	Armenia	K3
I1630	1200	Agarak	Armenia	U3b1
I1659	1295	Agarak	Armenia	R6b
I1660	1200	Agarak	Armenia	T
I1633	-2515	Kalavan	Armenia	H1u
I1635	-2526	Kalavan	Armenia	X2f
I1658	-3212	Talin	Armenia	U3a2a
ARM001	-3467	South Caucasus mountains, Kaps	Armenia	R1a1
ARM002	-3213	South Caucasus mountains, Kaps	Armenia	K3
I13599	-2387	Karnut Archaeological Complex 	Armenia	U1a1a
I14339	-2459	Berkaber, Dzhoghaz Cemetery Meydanner	Armenia	H
I14341	-2450	Berkaber, Dzhoghaz Cemetery Meydanner	Armenia	T2h
I14343_d	-2375	Berkaber, Dzhoghaz Cemetery Meydanner	Armenia	U3b1a1
I14346	-2500	Shengavit cemetery	Armenia	U1a1
I15132	-2529	Berkaber, Dzhoghaz Cemetery Meydanner	Armenia	U3b2
I16706	-2773	Karnut Archaeological Complex 	Armenia	H8a1
I16920	-2450	Berkaber, Dzhoghaz Cemetery Meydanner	Armenia	T2a1b2b
I14340	-2390	Berkaber, Dzhoghaz Cemetery Meydanner	Armenia	N1b1a
I17499	-3000	Karnut Archaeological Complex 	Armenia	T2h
I1657	-3173	Talin cemetery	Armenia	U3a2a
I14812	-2750	Karnut Archaeological Complex 	Armenia	U7b
I16116	-1100	Bover Cemetery	Armenia	H14a
I16117	-636	Bover Cemetery	Armenia	U3c
I16191	-658	Pijut Archaeological Complex	Armenia	U7a
I16193	-675	Pijut Archaeological Complex	Armenia	T2
I16195	-675	Pijut Archaeological Complex	Armenia	N1b1a
I17180	-616	Pijut Archaeological Complex	Armenia	U4d3
I17181	-649	Pijut Archaeological Complex	Armenia	T2b
I16553	-850	Bragdzor cemetery 	Armenia	K1a4c
I16546	-850	Bragdzor cemetery 	Armenia	K1a4c
I16194	-675	Pijut Archaeological Complex	Armenia	K3
I16219	-640	Pijut Archaeological Complex	Armenia	T2b
I19322	-650	Noratus	Armenia	X2
I13947	-662	Lori Berd cemetery	Armenia	T2e
I14054	-773	Bardzryal Archaeological Complex 	Armenia	N1b1a
I14057	-649	Bardzryal Archaeological Complex 	Armenia	HV1
I16536	-826	Bragdzor cemetery 	Armenia	H2a
I16707	-873	Karnut Archaeological Complex 	Armenia	R1a1a
I17184	-664	Keti	Armenia	U1a1a1
I3938	-1051	Karmir Blur, necropolis of Teishebaini	Armenia	H28
I3944	-984	Karmir Blur, necropolis of Teishebaini	Armenia	H7c5
I17308	-306	Keti	Armenia	X2d1
I19327	-275	Noratus	Armenia	K1a19
I1636	-6	Aghitu	Armenia	W3a1
I1639	78	Aghitu	Armenia	T2h
I1637	-6	Aghitu	Armenia	H13a1a2
I13948	-1178	Lori Berd cemetery	Armenia	U4a2c
I15732	-1368	Nerkin Getashen	Armenia	K1a1
I15733	-1370	Nerkin Getashen	Armenia	J1c
I15734	-1375	Nerkin Getashen	Armenia	T1a2
I15749	-1200	Nerkin Getashen	Armenia	U8b1a2b
I16217	-1124	Karashamb Cemetery	Armenia	K1a
I16220	-1266	Karashamb Cemetery	Armenia	U3b3
I16537	-1027	Pidjut, Znganek monument	Armenia	J2b1
I16554	-1133	Tekhut Cemetery	Armenia	K1a12a
I17182	-991	Keti	Armenia	N1b1a
I18479	-1200	Noratus	Armenia	HV1a1a
I19329	-1267	Noratus	Armenia	T1a1
I19331	-1175	Karashamb Cemetery	Armenia	H13a2b
I19332	-1175	Karashamb Cemetery	Armenia	H2
I19333	-1175	Karashamb Cemetery	Armenia	T2c1a
I19334	-1175	Karashamb Cemetery	Armenia	I6
I19335	-1335	Karashamb Cemetery	Armenia	K1a23
I19336	-1335	Karashamb Cemetery	Armenia	K1a12a
I19337	-1075	Karashamb Cemetery	Armenia	W3a1a1
I19338	-1116	Karashamb Cemetery	Armenia	I1
I19339	-1175	Karashamb Cemetery	Armenia	U3b2a1
I19341	-1335	Karashamb Cemetery	Armenia	X2f
I19342	-1175	Karashamb Cemetery	Armenia	R1a1a
I19343	-1075	Karashamb Cemetery	Armenia	W6
I19344	-1335	Karashamb Cemetery	Armenia	H4
I19345	-1175	Karashamb Cemetery	Armenia	J1d6
I19346	-1175	Karashamb Cemetery	Armenia	K1a
I19347	-1175	Karashamb Cemetery	Armenia	J1b1b1
I19348	-1335	Karashamb Cemetery	Armenia	T1a
I19349	-1075	Karashamb Cemetery	Armenia	U2e1h
I19350	-1175	Karashamb Cemetery	Armenia	T2i1
I19351	-1335	Karashamb Cemetery	Armenia	I1c1a
I19352	-1335	Karashamb Cemetery	Armenia	U5b2a1a
I19353	-1036	Karashamb Cemetery	Armenia	N1b1a2
I19354	-1102	Karashamb Cemetery	Armenia	HV
I20439	-961	Sarukhan	Armenia	X2e2a2
I20440	-1185	Sarukhan	Armenia	W6b
I20441	-843	Sarukhan	Armenia	U2
I20443	-946	Sarukhan	Armenia	H2a
I14051	-740	Bardzryal Archaeological Complex 	Armenia	T2c1a
I14052	-740	Bardzryal Archaeological Complex 	Armenia	U5a1d
I14053	-740	Bardzryal Archaeological Complex 	Armenia	H
I14055	-740	Bardzryal Archaeological Complex 	Armenia	K1a12a
I14056	-740	Bardzryal Archaeological Complex 	Armenia	H2a1
I14066	-925	Bagheri Tchala Archaeological Complex	Armenia	H
I14588	-925	Bagheri Tchala Archaeological Complex	Armenia	U5b2a1a1
I14601	-925	Bagheri Tchala Archaeological Complex	Armenia	W5
I14602	-925	Bagheri Tchala Archaeological Complex	Armenia	J1c2e
I14603	-927	Bagheri Tchala Archaeological Complex	Armenia	H29
I14605	-925	Bagheri Tchala Archaeological Complex	Armenia	K1a12a
I14606	-925	Bagheri Tchala Archaeological Complex	Armenia	X4
I14618	-1036	Bagheri Tchala Archaeological Complex	Armenia	H8a1
I14620	-965	Bagheri Tchala Archaeological Complex	Armenia	T1a1
I15729	-1200	Nerkin Getashen	Armenia	W3a1
I15748	-1335	Nerkin Getashen	Armenia	U5a2
I15750	-1335	Nerkin Getashen	Armenia	W3b
I16196	-1175	Lori Berd Cemetery	Armenia	K1a4b
I18162	-1175	Black Fortress	Armenia	U8b1a1
I18163	-1175	Black Fortress	Armenia	J1b1b1
I18165	-1175	Black Fortress	Armenia	X2
I18166	-1335	Lchashen cemetery	Armenia	X2
I18167	-1335	Lchashen cemetery	Armenia	H13a1a2
I18168	-1335	Lchashen cemetery	Armenia	H2a
I18248	-1175	Black Fortress	Armenia	X2
I18467	-1335	Noratus	Armenia	U8b1a2
I18468	-1100	Noratus	Armenia	HV18
I18469	-915	Noratus	Armenia	W6
I18470	-1100	Noratus	Armenia	N1a1a
I18472	-1335	Noratus	Armenia	K1a1b1e
I18478	-800	Noratus	Armenia	J2b1e1
I18481	-1100	Noratus	Armenia	I1c1a
I18486	-1335	Noratus	Armenia	T2a3
I18487	-1440	Noratus	Armenia	R0a3
I19321	-1100	Noratus	Armenia	H15a1b
I19323	-1440	Noratus	Armenia	HV1a'b'c
I19324	-915	Noratus	Armenia	HV1a1a
I19325	-1335	Noratus	Armenia	W4
I19326	-1200	Noratus	Armenia	C1
I19328	-859	Noratus	Armenia	N1a1a
I14065	-925	Bagheri Tchala Archaeological Complex	Armenia	I2
I16376	-740	Bover Cemetery	Armenia	W
I14619	-925	Bagheri Tchala Archaeological Complex	Armenia	I2
I14621	-925	Bagheri Tchala Archaeological Complex	Armenia	H8a1
I18483	-1200	Noratus	Armenia	N1b1a3
I15730	-1335	Nerkin Getashen	Armenia	K1a12a
I18164	-1175	Black Fortress	Armenia	J2b1f
I18247	-1175	Black Fortress	Armenia	K1a4b
I16216	-925	Bagheri Tchala Archaeological Complex	Armenia	H2
I14617	-965	Bagheri Tchala Archaeological Complex	Armenia	H29
I15731	-1335	Nerkin Getashen	Armenia	X2
DA31_noUDG.SG	-1250	Caucasus	Armenia	HV0a
DA35_noUDG.SG	-1309	Caucasus	Armenia	J1b1a1
RISE396_noUDG.SG	-1059	Kapan	Armenia	H6b
RISE397_noUDG.SG	-958	Kapan	Armenia	T1a2
RISE407_noUDG.SG	-985	Norabak	Armenia	H8a
RISE408_noUDG.SG	-1100	Norabak	Armenia	I5c
RISE412_noUDG.SG	-1068	Noratus	Armenia	U4c1a
I18267	-1335	Lchashen cemetery	Armenia	H3
I18269	-1335	Lchashen cemetery	Armenia	H13a2c1
I18270	-1335	Lchashen cemetery	Armenia	H20
I18271	-1335	Lchashen cemetery	Armenia	W1
I18272	-1335	Lchashen cemetery	Armenia	N1b1a3
I18274	-1200	Lchashen cemetery	Armenia	H4a1a1a
I18275	-1335	Lchashen cemetery	Armenia	T2h
I18276	-1335	Lchashen cemetery	Armenia	N1b1a3
I18277	-1335	Lchashen cemetery	Armenia	H13a1a2
I18278	-1335	Lchashen cemetery	Armenia	T2h
I18279	-1335	Lchashen cemetery	Armenia	J1b1b1
I18280	-1335	Lchashen cemetery	Armenia	U2e2a1
I18273	-1335	Lchashen cemetery	Armenia	H
I18159	-615	Harjis cemetery	Armenia	H5
I18160	-615	Harjis cemetery	Armenia	H13a2b4
I18161	-615	Harjis cemetery	Armenia	U3b3
I18236	-615	Harjis cemetery	Armenia	T1
I18237	-615	Harjis cemetery	Armenia	H2a
I18238	-615	Harjis cemetery	Armenia	N1a1b1
I20436	-1074	Sarukhan	Armenia	N1b1a5
I20444	-672	Sarukhan	Armenia	T2a1b2b
I20438	-73	Sarukhan	Armenia	C5c
I20437	-72	Sarukhan	Armenia	T1a9
I20442	281	Sarukhan	Armenia	N1b1a
I14813	-1995	Tavshut	Armenia	HV1a1
I1656	-1447	Katnaghbiur 1	Armenia	T1a2
I17183	-1320	Keti	Armenia	K1a4c
I19340	-1335	Karashamb Cemetery	Armenia	U1a1a1a
I16120	-1440	Dzori Gekh Archaeological complex	Armenia	T2g1a
RISE413_noUDG.SG	-1814	Nerquin Getashen	Armenia	T2c1f
RISE416_noUDG.SG	-1527	Nerquin Getashen	Armenia	K1a17a
RISE423_noUDG.SG	-1301	Nerquin Getashen	Armenia	T2a
I10252	100	Vardbakh, Yerevan 2 Cave	Armenia	U7b
I13949	-644	Lori Berd cemetery	Armenia	T1
I11853	-850	Karmir Blur, necropolis of Teishebaini	Armenia	T2c1d
I11855	-856	Karmir Blur, necropolis of Teishebaini	Armenia	I
I13031	-815	Karmir Blur, necropolis of Teishebaini	Armenia	U1a1a1
I13032	-839	Karmir Blur, necropolis of Teishebaini	Armenia	J1b
I16118	-645	Karmir Blur, necropolis of Teishebaini	Armenia	K1a4f1
I3892	-799	Karmir Blur, necropolis of Teishebaini	Armenia	K1
I3945	-645	Karmir Blur, necropolis of Teishebaini	Armenia	H14a2c
I3890	-750	Karmir Blur, necropolis of Teishebaini	Armenia	J1b
I13035	-604	Karmir Blur, necropolis of Teishebaini	Armenia	H8b
I5068	-5138	Kleinhadersdorf Flur Marchleiten	Austria	T2b23
I5069	-5011	Kleinhadersdorf Flur Marchleiten	Austria	N1a1a1
I11699	-350	Lower Austria, St. Pölten, Pottenbrunn	Austria	H11a2
I11701	-350	Lower Austria, St. Pölten, Pottenbrunn	Austria	T2b
I11708	-350	Lower Austria, St. Pölten, Pottenbrunn	Austria	U7b
I2483_noUDG	-28900	Krems-Wachtberg	Austria	U5
I2484	-28900	Krems-Wachtberg	Austria	U5
I2484_noUDG	-28900	Krems-Wachtberg	Austria	U5
I1577	-29000	Krems-Wachtberg	Austria	U5
I6913	-5416	Brunn Wolfholz	Austria	U5a1
I5208	-5200	Asparn Schletz	Austria	K1b1
I6912_noUDG	-5138	Brunn Wolfholz	Austria	J1
I5205	-5200	Asparn Schletz	Austria	H
I5206	-5200	Asparn Schletz	Austria	T2b
I5207	-5200	Asparn Schletz	Austria	H67
TA6.SG	1950	..	Peru	B4b
ALX002	-3710	Jalilabad district, Uchtepe village, Alkhantepe	Azerbaijan 	K1a12a1a
MTT001	-5688	Zeyem Chaj , Mentesh Tepe 	Azerbaijan 	U7
POT002	-5428	Jalilabad district, Uchtepe village, Polutepe	Azerbaijan 	H13a2b
I13320	1100	Abaco	Bahamas	B2e
I14875	877	Abaco, Bill Johnson's Cave, Lubber's Quarters	Bahamas	B2
I14922	947	Abaco, Hopetown	Bahamas	B2e
I14923	1347	Abaco, Moore's Island, Prophet's Cave	Bahamas	B2e
I13318	1200	Crooked Island	Bahamas	C1b
I13319	1200	Crooked Island	Bahamas	C1b
I13321	1200	Eleuthera Island	Bahamas	C1b2
I13736	1200	Eleuthera, Garden Cave	Bahamas	C1d1
I14878	1155	North Eleuthera, Preacher's Cave	Bahamas	B2
I14920	1012	Eleuthera, Garden Cave	Bahamas	C1b
I14921	1271	Eleuthera, Garden Cave	Bahamas	C1b
PCV001	1075	Eleuthera, Bahamian Island, Preacher's Cave	Bahamas	C1d
PCV003	1067	Eleuthera, Bahamian Island, Preacher's Cave	Bahamas	B2
PCV004	1075	Eleuthera, Bahamian Island, Preacher's Cave	Bahamas	C1d1
PCV002	1155	North Eleuthera, Preacher's Cave	Bahamas	B2
I14876	1326	North Eleuthera, Blue Hole	Bahamas	B2
I13322	933	Long Island	Bahamas	C1d1
I13737	1198	Long Island, Clarence Town, Rolling Heads Site	Bahamas	B2e
I13738	1339	Long Island, Clarence Town, Rolling Heads Site	Bahamas	C1b
I13739	1336	Long Island, Clarence Town, Rolling Heads Site	Bahamas	B2e
I13558	1351	South Andros, Sanctuary Blue Hole	Bahamas	C1b2
I14879	1299	South Andros, Sanctuary Blue Hole	Bahamas	C1b
I14880	1361	South Andros, Sanctuary Blue Hole	Bahamas	A2h
I14881	1353	South Andros, Sanctuary Blue Hole	Bahamas	A2
I14882	1315	South Andros, Sanctuary Blue Hole	Bahamas	A2
I14883	1362	South Andros, Sanctuary Blue Hole	Bahamas	A2
I13560	1287	South Andros, Stargate Blue 166	Bahamas	B2e
PC537_noUDG.SG	957	Eleuthera, Preacher's Cave	Bahamas	B2
B-04_noUDG.SG	-750	Comondu, Baja	Mexico	C1b41a1
MX-01_noUDG.SG	-750	Iron Springs, Baja	Mexico	B2a5
GoyetQ116-1_noUDG	-33258	Troisieme caverne of Goyet cave	Belgium	M
GoyetQ376-19_noUDG_d	-25555	Troisieme caverne of Goyet cave	Belgium	U2
GoyetQ53-1_noUDG	-26101	Troisieme caverne of Goyet cave	Belgium	U2
GoyetQ56-16_noUDG	-24350	Troisieme caverne of Goyet cave	Belgium	U2
GoyetQ-2_noUDG	-13127	Troisieme caverne of Goyet cave	Belgium	U8a
GoyetQ-2_udg	-13127	Troisieme caverne of Goyet cave	Belgium	U8a
I24540	-3657	Mayahak Cab Pek	Belize	C
I7543	-1910	Mayahak Cab Pek	Belize	C1c4
I8041	-2129	Mayahak Cab Pek	Belize	A2
I19950	-2723	Saki Tzul	Belize	D4h3a
I5455	-2522	Mayahak Cab Pek	Belize	C5b
I6235	-2573	Mayahak Cab Pek	Belize	A2
I6236	-2532	Saki Tzul	Belize	C5b
I19167	-2941	Mayahak Cab Pek	Belize	R
I19942	-2993	Saki Tzul	Belize	C1c
I3442	-3048	Mayahak Cab Pek	Belize	A2
I5454	-3088	Mayahak Cab Pek	Belize	A2q
I7544	-2807	Mayahak Cab Pek	Belize	C5b
I3442_noUDG	-3048	Mayahak Cab Pek	Belize	A2af1b
I13267	-3533	Mayahak Cab Pek	Belize	C1c
I5456	-5418	Saki Tzul	Belize	D1
I5457	-5426	Saki Tzul	Belize	D1
I19170	-6825	Mayahak Cab Pek	Belize	D4h3a5
I19169	-6785	Mayahak Cab Pek	Belize	D4h3a5
I13268	-7584	Mayahak Cab Pek	Belize	C1b
I3443	-7351	Mayahak Cab Pek	Belize	D4h3a
mondal_PRBB-1.SG	1950	Bengali	India	M5a
mondal_BIR-15.SG	1950	Birhor	India	R8a1a1a
mondal_BIR-08.SG	1950	Birhor	India	M49d
mondal_BIR-11.SG	1950	Birhor	India	M3
mondal_BIR-12.SG	1950	Birhor	India	M49d
mondal_BIR-13.SG	1950	Birhor	India	R7a1b1
mondal_BIR-14.SG	1950	Birhor	India	M40a1a
mondal_BIR-16.SG	1950	Birhor	India	R7a1b1
mondal_BIR-18.SG	1950	Birhor	India	R8a1a1a
mondal_BIR-22.SG	1950	Birhor	India	M49d
I0976	1050	Tiwanaku, La Paz	Bolivia	B2
I0977	960	Tiwanaku, La Paz	Bolivia	C1c
I0978	1085	Tiwanaku, La Paz	Bolivia	B2
I0979	825	Tiwanaku, La Paz	Bolivia	B2
I19561	1248	Klakar	Bosnia-Herzegovina	H3af
TAU001	950	Taukome	Botswana	L0d3b1
XAR001	850	Xaro	Botswana	L3e1a2
XAR002	850	Xaro	Botswana	L0k1a2
Botocudo17_noUDG.SG	1669	Rio Doce Valley	Brazil	B4a1a1
Botocudo15_noUDG.SG	1641	Rio Doce Valley	Brazil	B4a1a1a
Enoque65_noUDG.SG	-1566	Toca do Enoque Cave, Serra da Capivara, Piaui	Brazil	A2e
I9058_noUDG	-574	Jabuticabeira Shell Midden II	Brazil	C1c
CP26	-7700	Lapa do Santo	Brazil	A2
CP18	-7560	Lapa do Santo	Brazil	A2
CP25	-7651	Lapa do Santo	Brazil	A2
CP23	-7700	Lapa do Santo	Brazil	D4h3a
CP19	-7912	Lapa do Santo	Brazil	C1d1
CP21	-7297	Lapa do Santo	Brazil	B2
CP22	-7623	Lapa do Santo	Brazil	B2
LAR001	-4610	Laranjal	Brazil	A2
LAR002	-4858	Laranjal	Brazil	A2
MOS001	-3859	Moraes	Brazil	D4h3a
Sumidouro4_noUDG.SG	-8157	Caverna do Sumidouro, Lagoa Santa, Brazil	Brazil	D1
Sumidouro5_noUDG.SG	-8422	Caverna do Sumidouro, Lagoa Santa, Brazil	Brazil	D4h3a
Sumidouro6_noUDG.SG	-8120	Caverna do Sumidouro, Lagoa Santa, Brazil	Brazil	D1
Sumidouro7_noUDG.SG	-8240	Caverna do Sumidouro, Lagoa Santa, Brazil	Brazil	D1
Sumidouro8_noUDG.SG	-7801	Caverna do Sumidouro, Lagoa Santa, Brazil	Brazil	D4h3a
I0781	-4454	Yunatsite	Bulgaria	K1a
I0785	-4403	Yunatsite	Bulgaria	H7
I2423	-4431	Smyadovo	Bulgaria	H
I2424	-4338	Smyadovo	Bulgaria	U4a
I2425	-4525	Sushina	Bulgaria	T2c1d1
I2427	-4376	Sushina	Bulgaria	H1j
I2428	-4450	Smyadovo (Northeast)	Bulgaria	K1a
I2430	-4498	Smyadovo	Bulgaria	K1a
I2431	-4674	Ivanovo	Bulgaria	N1b1
I2509	-4400	Veliko Tarnovo, Dzhulyunitsa	Bulgaria	K1a2
I2519	-4287	Veliko Tarnovo, Dzhulyunitsa	Bulgaria	U5b2a1a
I2526	-5343	Samovodene	Bulgaria	T2e
I2426_enhanced	-4352	Sushina	Bulgaria	K1
I2181_enhanced	-4508	Smyadovo (Northeast)	Bulgaria	HV
I2181	-4508	Smyadovo (Northeast)	Bulgaria	HV
I2426	-4352	Sushina	Bulgaria	K1
I19451	-2500	Kazanlak, Tell Kran (Central, Yasenovo)	Bulgaria	H87
I19452	-2500	Kazanlak, Tell Kran (Central, Yasenovo)	Bulgaria	K1c1
I19453	-2500	Kazanlak, Tell Kran (Central, Yasenovo)	Bulgaria	U5b2b1a
I19454	-2500	Kazanlak, Tell Kran (Central, Yasenovo)	Bulgaria	U8b1b
I19456_d	-2500	Kazanlak, Tell Kran (Central, Yasenovo)	Bulgaria	U2e1a1
I19459	-2375	Tell Ezero (South Central)	Bulgaria	T
I19460	-2375	Tell Ezero (South Central)	Bulgaria	U5a1
I19462	-2500	Nova Zagora (South Central)	Bulgaria	U7b
