Gen_ID	DateMean	Locality	Pol_En	Y_hapgrp
I6365	-794	Khuvsgul aimag, Burentogtoh sum, Uushigiin uvur, Slab Burial 1	Mongolia	N1a1a1a1a-M1999
I6228	31	Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery Grave #44	Mongolia	C2a1a1b1b-Y11605
I13175	467	Khovd, Bulgan sum, Uliastai deed denj II kurgan 1 burial 1 (secondary)	Mongolia	R1b2b-BY14575
I12975	-1160	Khuvsgul aimag, Khankh sum, Khavtsal II Tomb 1 (Khirgisuur)	Mongolia	C2a1a-F1699
I13766	-1258	Bayankhongor aimag, Erdentsogt sum	Mongolia	Q1b1a3a-Y20260
I13767	-1248	Bayankhongor aimag, Ulziit soum, Khar Sair am	Mongolia	Q1b1a3-L334
I7039	-1116	Khovd, Duut sum, Khoit Tsenkheriin gol 1988 barrow 3	Mongolia	Q1b1a3-L334
I13505	-1051	Bayankongor aimag, Erdenetsogt sum	Mongolia	Q1a1a-F5129
I6367	-1166	Bayan-Ulgii aimag, Tsengel sum, Biluut 2, barrow 3	Mongolia	O2a2b1a1a1-CTS5866
I13174	-1460	Khovd, Munkhkhairkhan sum, Khukh tolgoi barrow 9 	Mongolia	Q1b1a3-L334
I12976	-1382	Bayan-Ulgii aimag, Ulaankhus sum, Kulala Ula barrow 2	Mongolia	N1a-M2114
I6363	-1145	Khovd, Bulgan sum, Khudzrtyn gol II, barrow 1, burial 4 (main burial)	Mongolia	R1a1a1b2a-Z95
I7033	-1116	Uvs aimag, Ulaangom sum, Chandman uul, Ulaangom cemetery kurgan 59	Mongolia	R1a1a1b2a-Z95
I12972	-1397	Sükhbaatar aimag, Tuvshinshiree sum, Adgiin gol Tomb 21	Mongolia	Q1a1a-Y683.2
I14037	-1356	Sükhbaatar aimag, Tuvshinshiree sum, Bulgiin ekh, Tomb 47	Mongolia	Q1a1a1-F875
I12955	-1874	Zavkhan, Bayantes sum, Khukh Khushoony bom, Barrow 3	Mongolia	N1a1a1-CTS7728
I6348	-1682	Bulgan, Khutag-Undur sum, Haruulyn Gozgor tomb 1-113	Mongolia	Q1b1a3-L334
I13173	-1772	Khovd, Munkhkhairkhan sum, Ulaan goviin uzuur barrow 2	Mongolia	N-M231
I11696	-5578	Bulgan, Khutag-Undur sum, Marzyn khutul, Tomb 1-055-1, skeleton 1	Mongolia	C2a1a1-Z18161
I11697	-5550	Bulgan, Khutag-Undur sum, Marzyn khutul, Tomb 1-055-1, skeleton 4	Mongolia	C2a1a1-Z18161
I11698	-5570	Bulgan, Khutag-Undur sum, Marzyn khutul, Tomb 1-055-1, skeleton 2	Mongolia	C2a1a1-Z18161
I13698	-5554	Bulgan, Khutag-Undur sum, Egiin-gol river valley, Marzyn Khutul, tomb 1-055-1, skeleton 2	Mongolia	C2a1a1-Z18161
C1_noUDG.SG	-825	Chokhopani Tomb, Nepal	Nepal	O-M117
I5748	-2433	Noord-Holland, Oostwoud, De Tuithoorn	Netherlands	R1b1a1b1a1a2e2
GRO002.A_noUDG	950	Groningen	Netherlands	I2a1a1
GRO007.A	1000	Groningen	Netherlands	R1b1a2a1a1b
GRO008.A	1025	Groningen	Netherlands	R1b1a2a1a1e
GRO012.A	900	Groningen	Netherlands	R1b1a2a1a1a
GRO013.A	875	Groningen	Netherlands	R1b1a2a1a1c
GRO017.A_noUDG	900	Groningen	Netherlands	R1b1a2a1b1
GRO019.A_noUDG	950	Groningen	Netherlands	I2a2a1b
GRO021.A	850	Groningen	Netherlands	I1a1b
GRO023.A	750	Groningen	Netherlands	R1b1a2a1a1c2b1b
GRO024.A	1050	Groningen	Netherlands	R1b1a2a1a2a1
GRO016.A_noUDG	1000	Groningen	Netherlands	R1b1a2a1a1c2b2a1
GRO005.A_noUDG	1050	Groningen	Netherlands	R1b1a2a1a2
VK390_noUDG.SG	500	Nor South, Telemark	Norway	R1a1a1b1a3a1
VK418_noUDG.SG	350	Nor North, Nordland	Norway	R1b1a1b1a1a1b
VK531_noUDG.SG	-2397	Nor North, Troms	Norway	R1b1a1
VK116_noUDG.SG	1200	Nor Mid, Trondheim	Norway	F
VK117_noUDG.SG	1200	Nor Mid, Trondheim	Norway	R1b1a1b1a1
VK421_noUDG.SG	1000	Nor South, Oppland	Norway	R1a1a
VK519_noUDG.SG	750	Nor North, Nordland	Norway	I1
VK386_noUDG.SG	950	Nor South, Oppland	Norway	R1b1a1b1a1a2c1a1f1a
VK388_noUDG.SG	1150	Nor North, Nordland	Norway	I1
VK389_noUDG.SG	950	Nor South, Telemark	Norway	R1b1a1b1a1a1c2b2a1b1a4b
VK394_noUDG.SG	950	Nor South, Hedmark	Norway	R1a1a1b1a3
VK414_noUDG.SG	1000	Nor South, Oppland	Norway	R1a1a1b1a3a2a
VK419_noUDG.SG	750	Nor North, Nordland	Norway	N1a1a1a1a1a1a
VK420_noUDG.SG	900	Nor South, Hedmark	Norway	I1
VK422_noUDG.SG	950	Nor South, Hedmark	Norway	R1a1a1b1a3a2
VK514_noUDG.SG	750	Nor North, Nordland	Norway	R1a1a1b1a3a1
VK515_noUDG.SG	950	Nor North, Nordland	Norway	I1a2a1a1d1a
VK516_noUDG.SG	950	Nor Mid, Sor-Trondelag	Norway	R1a1a1b1a3a2
VK524_noUDG.SG	950	Nor North, Nordland	Norway	I1a2a1a1d1a
VK528_noUDG.SG	800	Nor North, Troms	Norway	R1b1a1b1a1a2c1a4d1
VK529_noUDG.SG	800	Nor North, Nordland	Norway	I1a1b1a4a2
VK547_noUDG.SG	900	Nor North, Nordland	Norway	I1a1b1a4a2
UC8_8173.SG	1417	Chincha	Peru	Q1a2a1a
VK210_noUDG.SG	1150	Krakw	Poland	I2a
VK211_noUDG.SG	1150	Cedynia	Poland	R1b1a1b
VK153_noUDG.SG	1000	Bodzia	Poland	R1a1a
VK156_noUDG.SG	1000	Bodzia	Poland	R1a1a1b1a2a
VK157_noUDG.SG	1000	Bodzia	Poland	I1
VK200_noUDG.SG	891	Czersk	Poland	R
VK212_noUDG.SG	1042	Cedynia	Poland	R1a1a1b
VK494_noUDG.SG	1000	Sandomierz	Poland	R1a1a
CabecoArruda117B_noUDG.SG	-3100	Lisbon, Torres Vedras, Cabeço da Arruda I	Portugal	I2a1b
CabecoArruda122A_noUDG.SG	-3100	Lisbon, Torres Vedras, Cabeço da Arruda I	Portugal	G2a2a1
CovaMoura364_noUDG.SG	-2250	Cova da Moura	Portugal	I2a1b
DolmenAnsiao96B_noUDG.SG	-3500	Dolmen de Ansião	Portugal	I2a1a1a1b
LOI001	1338	Santa Isabel, Los Indios	Puerto Rico	Q1b1a1a1
PDI009	1025	Vega Baja, Paso del Indio	Puerto Rico	Q1b1a1a
PDI010	1088	Vega Baja, Paso del Indio	Puerto Rico	Q1b1a1a
PDI011	1149	Vega Baja, Paso del Indio	Puerto Rico	Q1b1a1a1
PDI012013	1050	Vega Baja, Paso del Indio	Puerto Rico	Q1b1a1a1
PCA009	818	Humacao, Punta Candelero	Puerto Rico	CT
Cioclovina1_noUDG	-30719	Cioclovina	Romania	CT
OC_noUDG.SG	-6754	Iron Gates, Ostrovul Corbului	Romania	R1b1
irk022_noUDG.SG	-2301	Siberian Federal District, Cis-Baikal, Angara River, Ust'-Dolgoe site	Russia	Q1a2a1c
irk025_noUDG.SG	-2400	Siberian Federal District, Cis-Baikal, Angara River, Sukhaja Pad' Buret' site	Russia	Q1a2a
irk036_noUDG.SG	-2770	Siberian Federal District, Cis-Baikal, Angara River, Glazkovo site	Russia	Q1a2a
irk057_noUDG.SG	-2430	Siberian Federal District, Cis-Baikal, Angara River, Podostrozhnoe N 3	Russia	Q1a2
irk032_noUDG.SG	1337	Siberian Federal District, Cis-Baikal, Angara River, Zarubino site	Russia	I
irk033_noUDG.SG	-2908	Siberian Federal District, Cis-Baikal, Angara River, Chastaja Padi	Russia	Q1a
irk034_noUDG.SG	-3575	Siberian Federal District, Cis-Baikal, Angara River, Kirpichnyj Saraj site	Russia	Q1a2a
irk040.SG	-3609	Siberian Federal District, Cis-Baikal, Angara River, Gorodische N 1	Russia	Q1a2a
bla001_noUDG.SG	651	Far Eastern Federal District, Amur Oblast, Blagovechensk, Oktyabr'skoe	Russia	C2b1a1b1
I1193	-4882	Primorsky Krai, Boisman-2	Russia	C2a1a-F1788
I3355	-4871	Primorsky Krai, Boisman-2	Russia	C2a1a-F3927
I3356	-3655	Primorsky Krai, Boisman-2	Russia	C2a1a-F1788
I1192	-4761	Primorsky Krai, Boisman-2	Russia	C2a1-F3914
I14308	-4764	Primorsky Krai, Boisman-2	Russia	C2a-F3776
I14771	-3675	Primorsky Krai, Boisman-2	Russia	C2a-F1906
I2056	-4516	Unakozovskaya	Russia	J2a
I2055	-4558	Unakozovskaya	Russia	J
I2051	-1325	North Caucasus, Marchenkova Gora	Russia	J
I6266	-3435	Klady, Dlinnaya Polyana	Russia	J2a1
I6268	-3600	Klady, Dlinnaya Polyana	Russia	J2a1
I6272	-3090	Klady, Dlinnaya Polyana	Russia	G2a2a
N4a1_noUDG.SG	-2555	Far Eastern Federal District, Yakutia, Central Yakutia, Kyordyughen 2	Russia	N1c2b2
I0575	-300	Pokrovka	Russia	R1b1a1a2a2
I1202	-900	Pospelovo 1, Primorsky Krai	Russia	N1a-F1206
brn003_noUDG.SG	-4600	Siberian Federal District, Trans-Baikal, Kadalinka River, Dvorcy-Dacha burial	Russia	N1c1a1
kra001_noUDG.SG	-2220	Siberian Federal District, Krasnoyarsk Krai, Krasnoyarsk Krai, Nefteprovod-2 site	Russia	N1c1a1a
brn008_noUDG.SG	-5429	Siberian Federal District, Trans-Baikal, Kuenga River, Izvestkovaja-1 site	Russia	N1c1a1
irk071_noUDG.SG	-3182	Siberian Federal District, Cis-Baikal, Lake Baikal, Mys Uyuga site	Russia	Q1a2a
irk075_noUDG.SG	-3447	Siberian Federal District, Cis-Baikal, Lake Baikal, complex 1, Sokhter site	Russia	Q1a2a
SIJ002	-3214	Sinjucha, Kuban steppe	Russia	L1
irk061_noUDG.SG	-2391	Siberian Federal District, Cis-Baikal, Lena River, Zvjozdochka site	Russia	Q1a2a
irk068_noUDG.SG	-2518	Siberian Federal District, Cis-Baikal, Lena River, Shishkino N 1	Russia	Q1a2a
irk007_noUDG.SG	-6851	Siberian Federal District, Cis-Baikal, Lena River, Popovskij Lug site	Russia	N1c2b2
irk030_noUDG.SG	-4019	Siberian Federal District, Cis-Baikal, Lena River, Korkino	Russia	Q1a2a1c
DA359_noUDG.SG	-5595	Lokomotiv	Russia	N1c
BU2001	-2725	Piedmont, Belij Ugol 2	Russia	R1b1a2a2
GW1001	-2768	Piedmont, Gorjačevodskij 1	Russia	R1b1a2a2
I1723_noUDG	-2746	Goryachevadskiy	Russia	R1b1a1a2a
ANG001	-5324	Siberia, Angara river, Angara	Russia	BT
GLZ001	-2606	Siberia, Irkutsk city, Glazkovskoe predmestie	Russia	C2b1
GLZ002	-2480	Siberia, Irkutsk city, Glazkovskoe predmestie	Russia	C2b1
GLZ003	-2528	Siberia, Irkutsk city, Glazkovskoe predmestie	Russia	Q1a2a
KAG002	-1798	Siberia, Lena river, Kachug	Russia	Q1a2
KPT002_petrous	-1981	Siberia, Upper Lena river, Khaptsagai	Russia	CT
KPT003	-1995	Siberia, Upper Lena river, Khaptsagai	Russia	Q1a2a
KPT004	-1823	Siberia, Upper Lena river, Khaptsagai	Russia	Q1a
STB001	-2654	Siberia, Lower Lena river, Zhigalovo	Russia	CT
ZPL002	-2218	Siberia, Upper Lena river, Zapleskino	Russia	Q1a2a
KPT002_tooth	-1981	Siberia, Upper Lena river, Khaptsagai	Russia	CT
KPT005	-2084	Siberia, Upper Lena river, Khaptsagai	Russia	Q1a2a
IUO001	-4955	Siberia, Lena river, Iushino	Russia	C2b1
KAG001	-4906	Siberia, Lena river, Kachug	Russia	BT
BZK002	-2759	Siberia, Yenisei river, Bazaikha	Russia	Q1a2a1c
I0577	-800	Arzan	Russia	R1a1a1b
DA355_noUDG.SG	-3519	Ust'-Ida	Russia	Q1a2
VK161_noUDG.SG	1100	Kurevanikha	Russia	F
VK160_noUDG.SG	1100	Kurevanikha	Russia	R1a1a1b1a1a1c1c
VK18_noUDG.SG	1050	Ladoga	Russia	R1a1a1b1a3a
VK466_noUDG.SG	1000	Gnezdovo	Russia	R1
VK222_noUDG.SG	1000	Gnezdovo	Russia	BT
VK14_noUDG.SG	1050	Ladoga	Russia	I1
VK159_noUDG.SG	1000	Pskov	Russia	R1b1a1b1a1
VK16_noUDG.SG	1050	Ladoga	Russia	I1
VK17_noUDG.SG	1050	Ladoga	Russia	T1a1a
VK20_noUDG.SG	1050	Ladoga	Russia	I1
VK218_noUDG.SG	1050	Ladoga	Russia	R1b1a1b1a1a2c
VK219_noUDG.SG	1000	Ladoga	Russia	I1a1b1
VK22_noUDG.SG	1050	Ladoga	Russia	I
VK220_noUDG.SG	1050	Ladoga	Russia	I1a1
VK221_noUDG.SG	900	Ladoga	Russia	I1a1b1
VK223_noUDG.SG	1000	Gnezdovo	Russia	I1a
VK224_noUDG.SG	1000	Gnezdovo	Russia	N1a1a1a1a1a
VK23_noUDG.SG	1050	Ladoga	Russia	I1
VK273_noUDG.SG	1000	Gnezdovo	Russia	R1b1a1b1a1a2
VK408_noUDG.SG	1050	Ladoga	Russia	R1a1a1b1
VK409_noUDG.SG	1050	Ladoga	Russia	I1a
VK410_noUDG.SG	1100	Ladoga	Russia	I1
I2567	-2068	Scotland, Dryburn Bridge	United Kingdom	R1b1a1b1a1a2c1
I2569_enhanced	-2028	Scotland, Eweford Cottages	United Kingdom	R1b1a1b1a1a2c1
I3132	-1977	Scotland, Covesea Cave 2	United Kingdom	R1b1a1b1a1a2c1a5c
I5515	-1932	Scotland, Fife, cist3, Dunfermline, Aberdour Road	United Kingdom	R1b1a1b1a1a2c1
I5516	-1691	Scotland, Doune, Perth and Kinross	United Kingdom	R1b1a1b1a1a2b1
I2568	-2163	Scotland, Dryburn Bridge	United Kingdom	R1b1a1b1a1a2c1
I16504	34	Scotland, East Lothian, Broxmouth	United Kingdom	R1b1a1b1a1a2c1
I2859	-860	Scotland, Covesea Caves	United Kingdom	R1b1a1b1a1a2c1
I2860	-874	Scotland, Covesea Cave 2	United Kingdom	R1b1a1b1a1a2
I16418	-5	Scotland, East Lothian, North Berwick, Law Road	United Kingdom	I2a1b1a1a1
I2693	-110	Scotland, East Lothian, Broxmouth	United Kingdom	R1b1a1b1a1a
I2699	-50	Scotland, South Uist, Hornish Point	United Kingdom	F
I27384	5	Scotland, West Lothian, House of Binns	United Kingdom	R1b1a1b1a1a2c1
I27385	34	Scotland, West Lothian, House of Binns	United Kingdom	R1b1a1b1a1a2c1
I2799	-52	Scotland, Orkney, Howe of Howe	United Kingdom	R1b1a1b1a1a2c1a1a
I2824	42	Scotland, Isle of Harris, Northton	United Kingdom	R1b1a1b
I3566	-81	Scotland, Highland, Applecross	United Kingdom	R1b1a1b1a1a2c1
I3567	-87	Scotland, Highland, Applecross	United Kingdom	R1b1a1b1a1a2c1
I3568	38	Scotland, Highland, Applecross	United Kingdom	R1b1a1b1a1a2c1a4b2b1
I2653	-1274	Scotland, Longniddry, Evergreen	United Kingdom	R1b1a1b1a1a2c1
I2655	-1361	Scotland, Pabbay Mor	United Kingdom	I2a1b1a1a1
I2656	-1131	Scotland, Longniddry, Grainfoot	United Kingdom	R1b1a1b1a1a2
lai001_noUDG.SG	-3228	Scotland, Orkney, Knowe of Lairo	United Kingdom	I2a1a2
mid001_noUDG.SG	-3223	Scotland, Orkney, Rousay, Midhowe	United Kingdom	I2a1a2
mid002_noUDG.SG	-3460	Scotland, Orkney, Rousay, Midhowe	United Kingdom	I2a1a2
I2982	-300	Scotland, Orkney, Bu	United Kingdom	R1b1a1b1a1a2c1a2
I16422	-258	Scotland, East Lothian, Broxmouth	United Kingdom	R1b1a1b1a1a2b1
I16499	-119	Scotland, East Lothian, North Berwick, Law Road	United Kingdom	R1b1a1b1a1a2c1a1a
I2695	-258	Scotland, East Lothian, Broxmouth	United Kingdom	R1b1a1b1a1a2c1
I16416	-160	Scotland, East Lothian, Broxmouth	United Kingdom	R1b1a1b1a1a2
I16503	-170	Scotland, East Lothian, Broxmouth	United Kingdom	R1b1a1b1a1a2
I19286	-3180	Scotland, Highland, Embo	United Kingdom	I2a1a2
I2629_enhanced	-2850	Scotland, Orkney, Isbister	United Kingdom	I2a1a2
I2630	-2521	Scotland, Orkney, Isbister	United Kingdom	I2a1a2
I2631	-3007	Scotland, Orkney, Quoyness	United Kingdom	I2a1a2
I2634	-3617	Scotland, Tulach an t'Sionnach	United Kingdom	I2a1a2
I2635	-3573	Scotland, Tulloch of Assery	United Kingdom	I2a1a2a1a2a
I2637	-3425	Scotland, Orkney, Holm of Papa Westray North	United Kingdom	I2a1a2
I2650	-3430	Scotland, Orkney, Holm of Papa Westray North	United Kingdom	I2a1b1a2
I2657	-3864	Scotland, Argyll and Bute, Oban, Macarthur Cave	United Kingdom	I2a1b1a1a1
I2796_enhanced	-3621	Scotland, Orkney, Point of Cott	United Kingdom	I2a1a2
I2932	-2483	Scotland, Orkney, Isbister	United Kingdom	I2a1a2
I2933	-2927	Scotland, Orkney, Isbister	United Kingdom	I2a1b1a1a1b
I2935	-3165	Scotland, Orkney, Isbister	United Kingdom	I2a1a2a1a2a
I2977	-2893	Scotland, Orkney, Isbister	United Kingdom	I2a1b2
I2978	-3190	Scotland, Orkney, Isbister	United Kingdom	I2a1a2a1a2a
I2979	-3154	Scotland, Orkney, Isbister	United Kingdom	I2a1a2
I3133	-3496	Scotland, Argyll and Bute, Oban, Raschoille Cave	United Kingdom	I2a1a2
I3134	-3511	Scotland, Argyll and Bute, Oban, Raschoille Cave	United Kingdom	I2a1b1a1a1
I3137_enhanced	-3400	Scotland, Argyll and Bute, Oban, Raschoille Cave	United Kingdom	I2a1b
I7554	-3232	Scotland, Orkney, Unstan Chamber Tomb	United Kingdom	I2a1a2a1a2a
I2658	-3850	Scotland, Argyll and Bute, Oban, Macarthur Cave	United Kingdom	I2a1b1
I12312	-3674	Scotland, Argyll and Bute, Isle of Ulva, Ulva Cave	United Kingdom	I2a1b
I3041	-3490	Scotland, Argyll and Bute, Oban, Raschoille Cave	United Kingdom	I2a1b1a1a1
I3135	-3567	Scotland, Argyll and Bute, Oban, Raschoille Cave	United Kingdom	I2a1b1a1a1b
I3041_noUDG.SG	-3490	Scotland, Argyll and Bute, Oban, Raschoille Cave	United Kingdom	I2a2a1a1a
I3041.SG	-3490	Scotland, Argyll and Bute, Oban, Raschoille Cave	United Kingdom	I2a2a1a1a
I12317	-3498	Scotland, Argyll and Bute, Oban, Carding Mill Bay II	United Kingdom	I2a1a2a1a2a
I2660	-3444	Scotland, Distillery Cave	United Kingdom	I2a1b1a1a1
I2691	-3663	Scotland, Distillery Cave	United Kingdom	I2a1b1a1a2
VK201_noUDG.SG	490	Scotland, Orkney, Buckquoy Birsay	United Kingdom	I2a1b1a1a1b1a
VK205_noUDG.SG	930	Scotland, Orkney, Newark Deerness	United Kingdom	R1a1a1b1a3a1a3b2
VK202_noUDG.SG	950	Scotland, Orkney, Buckquoy Birsay	United Kingdom	R1b1a1b1a1a2c1a3a2
VK203_noUDG.SG	361	Scotland, Orkney, Brough Road Birsay	United Kingdom	R1b1a1b1a1a2c1
VK204_noUDG.SG	950	Scotland, Orkney, Newark Deerness	United Kingdom	R1b1a1b1a1a1b1a
baa001.SG	62	Ballito Bay A	South Africa	A1b1b2
bab001.SG	-87	Ballito Bay B	South Africa	A1b1b2
ALM047	-1775	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM069	-1650	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM070	-1650	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM002_merged	-1850	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM006	-1830	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM007	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM014	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM016_merged	-1853	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM017	-1802	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM020	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM025	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM028_merged	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM040	-1892	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM041	-1864	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1b
ALM046	-1813	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1
ALM049	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1
ALM050	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM034	-1872	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM032	-1650	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM036	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM039	-1630	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM057	-1746	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a
ALM063	-1650	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM064	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM078	-1650	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM081	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM080	-1650	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2
ALM058	-1875	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
ALM052	-1815	Murcia, Pliego, La Almoloya	Spain	R1b1a1b1a1a2a1
EFA006	-1100	Balearic Islands, Menorca, Ciutadella, Es Forat de ses Aritges	Spain	R1b1a1b1a1a2
EFA008	-1100	Balearic Islands, Menorca, Ciutadella, Es Forat de ses Aritges	Spain	R1b1a1b
EFA009	-1100	Balearic Islands, Menorca, Ciutadella, Es Forat de ses Aritges	Spain	R1b1a1b
EFA007	-1100	Balearic Islands, Menorca, Ciutadella, Es Forat de ses Aritges	Spain	R1b1a1b1a1a2a1
COV20126_noUDG.SG	-1682	Lucena, Covacha del Angel	Spain	G2a2b
esp005_noUDG.SG	-1450	La Rioja, Cueva de los Lagos	Spain	R1b-DF27
BAS022	-1650	Murcia, Totana, La Bastida	Spain	R1b1a1b1a1a2
BAS023	-2011	Murcia, Totana, La Bastida	Spain	R1b1a1b1a1a2
BAS024	-2079	Murcia, Totana, La Bastida	Spain	R1b1a1b1a1a2
BAS025	-2031	Murcia, Totana, La Bastida	Spain	E1b1b1a1b1
BAS002	-1565	Murcia, Totana, La Bastida	Spain	R1b1a1b1a1a2
BAS018	-1720	Murcia, Totana, La Bastida	Spain	R1b1a1b1a1a2
BAS026	-1875	Murcia, Totana, La Bastida	Spain	R1b1a1b1a1a2
I0261	-2550	Barcelona, Cerdanyola, Paris Street	Spain	R1b1a
I1277	-2453	Burgos, Atapuerca, El Mirador Cave	Spain	I2a2a
I1303	-2600	Burgos, Atapuerca, El Mirador Cave	Spain	I2a1a1
I1314	-2600	Burgos, Atapuerca, El Mirador Cave	Spain	G2a
I1976	-2477	Basque Country, Araba/Álava, Laguardia, El Sotillo	Spain	I2a1b1
I3269	-2900	Basque Country, Alava, Las Yurdinas II	Spain	I2a2a
I5838	-2600	Burgos, Atapuerca, El Mirador Cave	Spain	I2a2a
atp002_noUDG.SG	-2796	Atapuerca, El Portalón	Spain	H2-P96
I3276	-3005	Basque Country, Alava, Alto de la Huesera	Spain	G2a2a
atp12-1420_noUDG.SG	-2918	Atapuerca, El Portalón	Spain	I2-M223
I6470	-1659	Castilla y León, Ciempozuelos, Burgos, Tablada de Rudrón, Virgazal	Spain	R1b1a1b1a1a2a
CHA001_merged	-5177	Cueva de Chaves	Spain	I2a1b
CHA002_merged	-5177	Cueva de Chaves	Spain	R1b
CHA003_merged	-5125	Cueva de Chaves	Spain	I2a1b
FUC003_merged	-5069	Fuente Celada	Spain	G2a2a1
I0410	-5156	Els Trocs	Spain	R1b1a
I0411	-5157	Els Trocs	Spain	F
I3321	-200	Valencian Community, Castelló/Castellón, Vilafamés, Els Estrets de la Rata	Spain	R1b1a1a2a1a2
LHO002	-1550	Alicante, Aspe, La Horna	Spain	R1b1a1b1a1a2a1
LHO001	-1511	Alicante, Aspe, La Horna	Spain	R1b1a1b1a1a2a1
c40331_noUDG.SG	-3680	Andalusia, Cueva de los Cuarenta	Spain	I2-Z161
ELT002_merged	-3803	Cova de Els Trocs	Spain	I2a1a1
ELT006_merged	-3859	Cova de Els Trocs	Spain	I2a1a1
MDP003	-2090	Murcia, Caravaca, Molinos del Papel	Spain	R1b1a1b1a1a2
MDP001	-2205	Murcia, Caravaca, Molinos del Papel	Spain	R1b1a1b
CMO002	-1814	Murcia, Moratalla, Cerro del Morrón	Spain	R1b1a1b1a1a2a1
LOT001	-1899	Murcia, Lorca, Los Tintes	Spain	R1b1a1b
MMI004	-1500	Murcia, Lorca, Madre Mercedarias Iglesias	Spain	R1b1a1b1a1a2
PUC002	-1660	Alicante, Villena, Puntal de los Carniceros	Spain	R1b1a1b1a1a2a1
CDM002	-2485	Murcia, Caravaca, Camino del Molino	Spain	G2a2b2a1a1c1a
CDM004	-2800	Murcia, Caravaca, Camino del Molino	Spain	I2a1a2
CDP002	-2800	Alicante, Planes, Cova d' En Pardo	Spain	H2
CDP006	-2800	Alicante, Planes, Cova d' En Pardo	Spain	H2
CLL001	-2800	Alicante, Villena, Cueva de las Lechuzas	Spain	G2a2a1a
CLL003	-2800	Alicante, Villena, Cueva de las Lechuzas	Spain	I2a1a
CLL004	-2800	Alicante, Villena, Cueva de las Lechuzas	Spain	I2a1b1a1b2
CLL005	-2800	Alicante, Villena, Cueva de las Lechuzas	Spain	I2a1a
CLL009	-2800	Alicante, Villena, Cueva de las Lechuzas	Spain	I2a1b1
CDM006	-2289	Murcia, Caravaca, Camino del Molino	Spain	I2a1a1a1a1
CDP003	-2800	Alicante, Planes, Cova d' En Pardo	Spain	H2
CDP009	-2800	Alicante, Planes, Cova d' En Pardo	Spain	H2
VLBA016	-2800	Sevilla, Valencina de la Concepción, PP4-Montelirio	Spain	I2a1a2a1a
VLBA017	-2800	Sevilla, Valencina de la Concepción, PP4-Montelirio	Spain	I2a1a1a1a1
VLBA029	-2800	Sevilla, Valencina de la Concepción, PP4-Montelirio	Spain	I2a1a
VLBA020	-2800	..	Spain	I2a1a
VLBA036	-2774	..	Spain	I2a1a
BAL003.A0101	-9958	Balma Guilanya	Spain	C1a1a
BAL051_merged	-11065	Balma Guilanya	Spain	I1
ZAP002	-1875	Murcia, Lorca, Zapatería	Spain	R1b1a1b1a1a2a1
LAV001	1120	St. Lucia, Cas-en-Bas, Lavoutte site 	St. Lucia	Q1b1a1a1
LAV002	1265	St. Lucia, Cas-en-Bas, Lavoutte site 	St. Lucia	Q1b1a1a1
LAV003	1278	St. Lucia, Cas-en-Bas, Lavoutte site 	St. Lucia	Q1b1a1a1
LAV004	1225	St. Lucia, Cas-en-Bas, Lavoutte site 	St. Lucia	Q1b1a1a
LAV006	1225	St. Lucia, Cas-en-Bas, Lavoutte site 	St. Lucia	Q1b1a1a1
